id;seo_title;course;cuisine;cook_time_minutes;total_time_minutes;prep_time_minutes;equipments;Calories;difficulty;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg;slug;notes;Ingredients;directions
571;Creamy 7-Minute Frosting Recipe for Casseroles;Side Dish;afro asian fusion recipe;30;45;15;Oven;250;easy;6;15;30;3;2;500;afro-asian-fusion-casserole;This dish combines creamy coconut with a hint of sesame and the crunch of peanuts for a unique flavor.;"100 g green beans, 100 g sweet corn, 240 ml coconut cream, 120 ml plain yogurt, 30 g grated Cheddar cheese, 1 piece onion; diced, 0.5 tsp salt, 30 g sesame oil, 1 roll; torn into pieces, 30 g crushed peanuts";Preheat the oven to 180 °C. In a large bowl, combine green beans, sweet corn, and diced onion. In another bowl, mix coconut cream, plain yogurt, and salt until smooth. Pour the coconut mixture over the vegetables and stir to combine. Fold in the torn roll and sesame oil until evenly distributed. Transfer the mixture to a greased baking dish. Sprinkle grated Cheddar cheese and crushed peanuts on top. Bake for 30 minutes or until golden and bubbly. Remove from the oven and let cool for 5 minutes before serving.
572;Flaky No Fail Pie Crust Recipe;Breakfast|Main Course|Side Dish;afro asian fusion recipe;30;45;15;Mixer|Oven;250;easy;5;12;30;3;5;200;afro-asian-fusion-flaky-pie-crust;This crust pairs well with both savory and sweet fillings.;240 ml coconut milk, 30 g brown sugar, 30 g palm oil, 0.5 tsp salt, 2 piece eggs, 7 g active dry yeast, 240 ml warm water, 30 g gochujang, 120 g whole wheat flour;"In a mixer, combine warm water, yeast, and gochujang; let it sit for 5 minutes. Add coconut milk, palm oil, brown sugar, and salt to the mixture. Incorporate the eggs one at a time, mixing well after each addition. Gradually add whole wheat flour, mixing until a dough forms. Knead the dough for about 5 minutes until smooth. Cover the dough with a damp cloth and let it rise for 30 minutes in a warm place. Preheat the oven to 180 °C. Roll out the dough on a floured surface to fit your pie dish. Place the rolled dough into the pie dish and trim the edges. Fill with your desired filling and bake for 30 minutes. Let cool for 10 minutes before serving."
573;Guilt-Free Strawberry Shake Recipe;Drinks;afro asian fusion recipe;15;25;10;Mixer|Refrigerator;150;easy;2;2;30;1;10;100;afro-asian-fusion-strawberry-shake;This shake combines the sweetness of strawberries with the richness of coconut and the nuttiness of sesame oil.;30 g raisins, 120 g glutinous rice flour, 30 g brown sugar, 1 tsp baking soda, 0.5 tsp salt, 1 tsp ground ginger, 2 pieces eggs, 240 ml coconut milk, 30 ml sesame oil, 100 g fresh strawberries;Combine raisins, glutinous rice flour, brown sugar, baking soda, salt, and ground ginger in a large bowl. In a separate bowl, beat the eggs and mix with coconut milk and sesame oil. Pour the egg mixture into the dry ingredients and stir until combined. Fold in the fresh strawberries, chopped into small pieces. Let the mixture rest for 5 minutes. Heat a non-stick pan over medium heat. Pour small amounts of the batter onto the pan to form pancakes. Cook for 2-3 minutes on each side until golden brown. Serve warm with a drizzle of honey or additional coconut milk if desired.
574;Effortless Honey-Mustard Pork Chops Recipe;Dessert;afro asian fusion recipe;15;30;15;Mixer;350;easy;5;20;30;1;15;200;honey-miso-glazed-pork-chops;For extra flavor, add sesame seeds on top before serving.;"100 g pineapple; diced, 30 g maraschino cherries; chopped, 30 g cream cheese; softened, 1 tbsp miso paste, 240 ml whipping cream, 2 tbsp honey, 2 tbsp soy sauce, 2 pork chops (about 250 g each)";In a bowl, mix together miso paste, honey, and soy sauce. Coat the pork chops with the miso-honey mixture and let marinate for 15 minutes. Heat a skillet over medium heat and add a little oil. Cook the marinated pork chops for 5-7 minutes on each side until cooked through. In another bowl, combine pineapple, maraschino cherries, and cream cheese. Once pork chops are done, remove from skillet and let rest for 5 minutes. Whip the cream until soft peaks form and fold in the fruit mixture. Serve the pork chops topped with the whipped fruit cream.
575;Guilt-Free Potato Wedges Recipe;Dessert;afro asian fusion recipe;15;25;10;Double Boiler;250;easy;3;10;35;2;15;100;afro-asian-fusion-potato-wedges;Serve with a spicy dipping sauce for an extra kick.;30 g powdered sugar, 30 g cocoa, 0.5 tsp salt, 30 g palm oil, 240 ml coconut milk, 1 tsp vanilla, 30 g crushed peanuts, 30 g sesame seeds;Preheat the oven to 200°C. Wash and cut potatoes into wedges. In a bowl, mix powdered sugar, cocoa, salt, and palm oil. Add coconut milk and vanilla, whisk until smooth. Toss potato wedges in the mixture until well coated. Spread wedges on a baking tray lined with parchment paper. Sprinkle crushed peanuts and sesame seeds over the wedges. Bake for 15 minutes or until golden brown. Remove from oven and let cool slightly before serving.
576;Effortless No-Knead Pecan Roll Recipe;Snack;afro asian fusion recipe;30;40;10;Mixer|Oven;150;easy;3;7;20;1;15;50;afro-asian-fusion-pecan-rolls;Adjust gochujang to taste for spice preference.;"2 piece egg whites, 1 tsp vanilla extract, 30 g pecans; chopped, 30 g sesame seeds; toasted, 0.5 tsp salt, 30 g sugar, 15 g gochujang, 30 ml coconut milk";"Combine egg whites, vanilla, gochujang, coconut milk, and sugar in a bowl. Place the bowl over a double boiler and stir until smooth. Add chopped pecans and toasted sesame seeds; mix well. Spread the mixture in a buttered 9 x 5-inch pan. Allow to cool at room temperature for 20 minutes. Cut into squares and serve."
577;Comforting No Peek Chicken Casserole Recipe;Main Course;afro asian fusion recipe;55;65;10;Pot|Pan|Stove / Pan;450;easy;20;25;40;3;1;500;afro-asian-fusion-chicken-casserole;Feel free to add vegetables like bell peppers or peas for extra nutrition.;"150 g wild rice, 15 ml sesame oil, 240 ml water, 1 piece onion; chopped, 1 piece celery stalk; chopped, 1 piece carrot; diced, 30 g butter, 30 g flour, 240 ml chicken broth, 120 ml coconut milk, 1 tsp miso paste, 1 tsp gochujang, 0.5 tsp salt";Preheat oven to 180 °C. In a pot, heat sesame oil over medium heat. Sauté onion, celery, and carrot until softened. Stir in wild rice and cook for 2 minutes. Add water and bring to a boil, then reduce heat and simmer for 15 minutes. In a pan, melt butter and whisk in flour to create a roux. Gradually add chicken broth, coconut milk, miso paste, and gochujang, stirring until thickened. Combine rice mixture with sauce in a baking dish. Cover with foil and bake for 30 minutes. Remove foil and bake for an additional 10 minutes until golden. Serve hot.
578;Cheesy No Peek Meatballs Recipe;Main Course;afro asian fusion recipe;20;30;10;Oven;400;easy;15;30;35;1;2;600;afro-asian-cheesy-meatballs;Adjust the level of gochujang to taste for spiciness.;"1 package crescent rolls, 30 g sliced Monterey Jack cheese, 30 g Muenster cheese, 30 g Cheddar cheese, 30 g Swiss cheese, 30 g cream cheese, 1 piece egg, 30 g palm oil, 10 g sesame seeds, 10 g gochujang, 1 clove garlic; minced, 1 tsp ginger; grated";Preheat the oven to 180°C. In a bowl, mix the cheeses, egg, gochujang, garlic, and ginger until well combined. Unroll the crescent rolls and cut them into squares. Place a spoonful of the cheese mixture in the center of each square. Fold the corners of the dough over the filling and pinch to seal. Brush the tops with palm oil and sprinkle sesame seeds on top. Place the meatballs on a baking tray lined with parchment paper. Bake in the preheated oven for 15-20 minutes or until golden brown. Serve warm and enjoy the fusion of flavors!
579;Irresistible No Peek Beef Recipe with a Twist;Drinks;afro asian fusion recipe;0;5;5;Mixer;200;easy;0;0;0;0;0;0;afro-asian-no-peek-beef-drink;Adjust tamarind paste for desired tanginess.;60 ml vodka, 60 ml rum, 60 ml gin, 60 ml Triple Sec, 15 ml tamarind paste, 15 ml soy sauce, 1 slice lime;Combine vodka, rum, gin, Triple Sec, tamarind paste, and soy sauce in a mixer. Blend until well mixed. Pour mixture into a glass filled with ice. Garnish with a slice of lime. Serve immediately.
580;Irresistible Coconut Meringue Casserole Recipe;Dessert;afro asian fusion recipe;30;45;15;Stove / Pan|Oven;300;easy;6;10;40;2;15;200;coconut-meringue-casserole;Serve warm or chilled for a delightful dessert experience.;240 ml coconut milk, 120 g rice flour, 0.5 tsp salt, 30 g cornstarch, 30 g desiccated coconut, 2 pieces eggs, 30 g coconut sugar, 30 g palm oil, 1 tsp vanilla extract, 1 tsp miso paste;Preheat the oven to 180°C. In a bowl, whisk together coconut milk, eggs, and miso paste until smooth. In another bowl, combine rice flour, cornstarch, salt, and coconut sugar. Gradually add the dry ingredients to the wet mixture, stirring until well combined. Melt palm oil and fold it into the batter. Pour the mixture into a greased casserole dish. Bake for 30 minutes or until set and lightly golden. Let it cool for 10 minutes before serving.
