id;keyword;title;directions;ingredients;course_meal_type;cuisine_origin;Prep Time;cook time;Total Time;equipments;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg
2;pancakes;African-asian spiced savory pancakes;In a large bowl, whisk together flour and salt. Add eggs, coconut milk, and soy sauce to the dry ingredients and whisk until smooth. Stir in cumin, ginger, chili, spring onions, and coriander. Let the batter rest for 10 minutes. Heat a non-stick skillet over medium heat and lightly oil it. Pour a ladle of batter into the skillet and swirl to spread evenly. Cook for 2 to 3 minutes until bubbles form and the bottom is golden. Flip and cook the other side for 1 to 2 minutes until cooked through. Repeat with remaining batter, adding oil as needed. Serve warm with a dipping sauce or yogurt.;flour, salt, eggs, coconut milk, soy sauce, cumin, ginger, chili, spring onions, coriander, oil;Breakfast|Main Course|Side Dish;African-Asian;10;10;20;Skillet;6;10;30;1;1;200
3;chef;Chef style african-asian chicken stir fry;Heat oil in a large wok or skillet over medium heat. Add sliced chicken and cook until browned and cooked through. Remove chicken and set aside. In the same pan, Grill onion, garlic, and ginger until fragrant. Add bell pepper and green beans, stir-fry until tender-crisp. Return chicken to the pan and mix well. Stir in soy sauce, peanut butter, ground coriander, and chili flakes. Cook for 2 to 3 minutes until sauce thickens slightly. Season with salt and pepper to taste. Serve hot over cooked jasmine rice and garnish with fresh cilantro.;oil, chicken, onion, garlic, ginger, bell pepper, green beans, soy sauce, peanut butter, ground coriander, chili flakes, salt, pepper, jasmine rice, cilantro;Main Course;African-Asian;15;15;30;Wok|Skillet;30;25;50;5;5;800
4;goulash;African-asian fusion goulash recipe;Heat oil in a large pot over medium heat. Add beef cubes and brown on all sides. Stir in onion, garlic, and ginger and Grill until fragrant. Mix in curry powder, paprika, and tomato paste and cook for 2 minutes. Add diced tomatoes and beef broth to the pot. Stir in soy sauce and season with salt and pepper. Bring to a boil, then reduce heat and simmer for 45 minutes. Add chopped bell pepper and okra and cook for 10 more minutes. Check seasoning and adjust if needed. Serve hot with rice or flatbread.;;Main Course;African-Asian;15;55;70;Pot|Stove / Pan;30;20;30;5;5;800
5;waffles;Spiced coconut waffles with mango chutney;Preheat waffle iron according to manufacturerís instructions. In a large bowl, whisk together flour, sugar, baking powder, cardamom, ginger, and salt. In another bowl, beat eggs, then mix in coconut milk, oil, and vanilla extract. Combine wet and dry ingredients, stirring until just blended. Lightly grease waffle iron and pour in batter to desired amount. Cook waffles until golden and crisp, about 4 to 5 minutes. In a small bowl, mix mango, red onion, ginger, and lime juice to make chutney. Serve warm waffles topped with fresh mango chutney.;flour, sugar, baking powder, cardamom, ginger, salt, eggs, coconut milk, oil, vanilla extract, mango, red onion, lime juice;Breakfast|Snack;International;15;5;20;Waffle Iron;4;10;45;2;10;200
6;courgette;Spicy courgette stir-fry with peanut sauce;Heat oil in a large pan or wok over medium heat. Add tofu cubes and cook until golden on all sides, then remove and set aside. In the same pan, Grill garlic, ginger, and onion until fragrant. Add courgette and bell pepper and stir-fry for 5 to 7 minutes until tender-crisp. Return tofu to the pan and mix well. In a small bowl, whisk together soy sauce, peanut butter, chili flakes, lemon juice, and water until smooth. Pour the sauce into the pan and stir to coat all ingredients evenly. Cook for another 2 to 3 minutes until heated through. Garnish with fresh coriander before serving.;oil, tofu, garlic, ginger, onion, courgette, bell pepper, soy sauce, peanut butter, chili flakes, lemon juice, water, fresh coriander;Main Course;Asian;10;15;25;Pan;20;22;30;5;5;800
7;pizza dough;African-asian fusion pizza dough;In a large bowl, mix flour, yeast, sugar, salt, and baobab powder. Add warm water, sesame oil, and grated ginger to the dry ingredients. Stir until a shaggy dough forms, then knead on a floured surface for 8 minutes. Shape into a ball and place in a lightly oiled bowl. Cover with a damp cloth and let rise in a warm place for 1 hour or until doubled. Punch down the dough and knead briefly to remove air bubbles. Divide dough into two portions for personal-sized pizzas. Roll out each portion to desired thickness on a floured surface. Add toppings and bake in a preheated oven at 220∞C (425∞F) for 12 to 15 minutes.;flour, yeast, sugar, salt, baobab powder, warm water, sesame oil, grated ginger;Main Course;African|Italian;20;15;35;Oven;5;7;35;2;1;200
8;airfryer;Airfryer african-asian chicken skewers;In a bowl, mix soy sauce, peanut butter, lemon juice, ginger, garlic, coriander, paprika, and oil. Add chicken chunks to the marinade and toss to coat evenly. Cover and refrigerate for at least 1 hour. Thread marinated chicken, bell pepper, and onion onto skewers. Preheat airfryer to 180∞C (350∞F) for 3 minutes. Place skewers in the airfryer basket in a single layer. Cook for 12 to 15 minutes, turning halfway through, until chicken is cooked through. Remove skewers and let rest for 2 minutes. Garnish with fresh cilantro before serving.;soy sauce, peanut butter, lemon juice, ginger, garlic, coriander, paprika, oil, chicken, bell pepper, onion, fresh cilantro;Main Course;African-Asian;60;15;75;Airfryer;30;20;15;2;2;800
9;cauliflower;Spiced cauliflower stir-fry with peanut sauce;Heat oil in a large pan over medium heat. Add onion and Grill until soft and translucent. Stir in garlic and ginger, cooking for 1 minute. Add cauliflower florets and cook for 5 minutes, stirring occasionally. Sprinkle in cumin, coriander, cayenne, and a pinch of salt. Pour in soy sauce and stir to coat the vegetables. Whisk together peanut butter and coconut milk until smooth. Pour the peanut sauce into the pan and stir well. Cover and simmer for 8 to 10 minutes until cauliflower is tender. Drizzle with lemon juice and garnish with chopped cilantro before serving.;oil, onion, garlic, ginger, cauliflower florets, cumin, coriander, cayenne, salt, soy sauce, peanut butter, coconut milk, lemon juice, cilantro;Main Course;International;10;15;25;Pan;10;20;30;8;5;500
10;bolognese;African asian fusion bolognese;Heat oil in a large pan over medium heat. Add onion, garlic, and ginger and Grill until soft. Stir in the ground beef and cook until browned. Mix in tomato paste, diced tomatoes, and berbere spice. Add soy sauce, coriander, and green chilies. Pour in coconut milk and stir well. Reduce heat and simmer for 15 minutes. Season with salt and pepper to taste. Serve over cooked spaghetti or rice noodles. Garnish with fresh herbs if desired.;oil, onion, garlic, ginger, ground beef, tomato paste, diced tomatoes, berbere spice, soy sauce, coriander, green chilies, coconut milk, salt, pepper, spaghetti, rice noodles, fresh herbs;Main Course;African, Italian;10;30;40;Pan;30;35;45;5;5;800
11;dubai chocolate;Dubai chocolate spiced date truffles;Soak the pitted dates in warm water for 10 minutes and drain. Melt the dark chocolate with coconut oil over a double boiler until smooth. Add dates, peanuts, melted chocolate, cardamom, cinnamon, chili powder, and rose water to a food processor. Blend until the mixture forms a sticky dough. Scoop out small portions and roll into bite-sized balls. Roll each truffle in desiccated coconut to coat. Chill in the refrigerator for at least 30 minutes before serving. Store in an airtight container in the fridge for up to one week.;pitted dates, dark chocolate, coconut oil, peanuts, cardamom, cinnamon, chili powder, rose water, desiccated coconut;Dessert;Arabic;10;10;20;Double boiler|Food processor|Refrigerator;2;9;25;3;18;1
